Award_ID,Function_Name,Status,Start_Time,Duration_Seconds,Error_Message
3008,scrape3008,Success,2026-02-05 21:46:04.676724,10108.66821,
3009,scrape3009,Success,2026-02-06 00:34:33.377017,61.066899,
3010,scrape3010,Failure,2026-02-06 00:35:34.506462,6.330036,"Message: session not created: cannot connect to chrome at 127.0.0.1:51036
from session not created: This version of ChromeDriver only supports Chrome version 145
Current browser version is 144.0.7559.133
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xf4f393
	0xf4f3d4
	0xd42090
	0xd7d732
	0xd7c76c
	0xd72845
	0xd72666
	0xdbae7f
	0xdba697
	0xdaebb6
	0xd80319
	0xd810d4
	0x11a3de4
	0x119f0e9
	0x11bc080
	0xf680a8
	0xf6fdfd
	0xf57bc8
	0xf57d92
	0xf4189a
	0x765a5d49
	0x7755d5db
	0x7755d561
"
3011,scrape3011,Failure,2026-02-06 00:35:40.862637,5.10371,"Message: session not created: cannot connect to chrome at 127.0.0.1:56002
from session not created: This version of ChromeDriver only supports Chrome version 145
Current browser version is 144.0.7559.133
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x39f393
	0x39f3d4
	0x192090
	0x1cd732
	0x1cc76c
	0x1c2845
	0x1c2666
	0x20ae7f
	0x20a697
	0x1febb6
	0x1d0319
	0x1d10d4
	0x5f3de4
	0x5ef0e9
	0x60c080
	0x3b80a8
	0x3bfdfd
	0x3a7bc8
	0x3a7d92
	0x39189a
	0x765a5d49
	0x7755d5db
	0x7755d561
	(nil)
"
3015,scrape3015,Success,2026-02-06 00:35:45.994726,0.615692,
3016,scrape3016,Success,2026-02-06 00:35:46.638789,0.280545,
3024,scrape3024,Success,2026-02-06 00:35:46.946343,0.363765,
3028,scrape3028,Success,2026-02-06 00:35:47.337979,0.0,
3056,scrape3056,Success,2026-02-06 00:35:47.369548,19.886924,
3064,scrape3064,Failure,2026-02-06 00:36:07.297776,1.633954,"Message: session not created: cannot connect to chrome at 127.0.0.1:54743
from session not created: This version of ChromeDriver only supports Chrome version 137
Current browser version is 144.0.7559.133
Stacktrace:
	GetHandleVerifier [0x0xb13b03+62899]
	GetHandleVerifier [0x0xb13b44+62964]
	(No symbol) [0x0x9410f3]
	(No symbol) [0x0x97ad9b]
	(No symbol) [0x0x979db9]
	(No symbol) [0x0x9704cf]
	(No symbol) [0x0x970306]
	(No symbol) [0x0x9ba36a]
	(No symbol) [0x0x9b9c0a]
	(No symbol) [0x0x9ae306]
	(No symbol) [0x0x97d670]
	(No symbol) [0x0x97e4e4]
	GetHandleVerifier [0x0xd74793+2556483]
	GetHandleVerifier [0x0xd6fd02+2537394]
	GetHandleVerifier [0x0xb3a2fa+220586]
	GetHandleVerifier [0x0xb2aae8+157080]
	GetHandleVerifier [0x0xb3141d+184013]
	GetHandleVerifier [0x0xb1ba68+95512]
	GetHandleVerifier [0x0xb1bc10+95936]
	GetHandleVerifier [0x0xb06b5a+9738]
	BaseThreadInitThunk [0x0x765a5d49+25]
	RtlInitializeExceptionChain [0x0x7755d5db+107]
	RtlGetAppContainerNamedObjectPath [0x0x7755d561+561]
"
3092,scrape3092,Success,2026-02-06 00:36:08.966520,0.835803,
3093,scrape3093,Success,2026-02-06 00:36:09.837389,0.269183,
3095,scrape3095,Success,2026-02-06 00:36:10.133957,0.25796,
3096,scrape3096,Success,2026-02-06 00:36:10.422257,33.623402,
3097,scrape3097,Success,2026-02-06 00:36:44.086997,46.59059,
3121,scrape3121,Success,2026-02-06 00:37:30.732163,2.247285,
3123,scrape3123,Success,2026-02-06 00:37:33.006940,2.303391,
3174,scrape3174,Success,2026-02-06 00:37:35.338290,26.621387,
3177,scrape3177,Success,2026-02-06 00:38:01.996916,1.952356,
3213,scrape3213,Success,2026-02-06 00:38:03.976483,0.001,
3233,scrape3233,Success,2026-02-06 00:38:04.002590,8.890247,
3234,scrape3234,Success,2026-02-06 00:38:12.931637,22.847278,
3235,scrape3235,Success,2026-02-06 00:38:35.808521,25.301494,
3236,scrape3236,Success,2026-02-06 00:39:01.146558,26.356784,
3238,scrape3238,Success,2026-02-06 00:39:27.538430,8.960485,
3262,scrape3262,Success,2026-02-06 00:39:36.546244,24.042671,
3266,scrape3266,Success,2026-02-06 00:40:00.657311,43.105605,
3280,scrape3280,Success,2026-02-06 00:40:43.798954,49.550988,
3281,scrape3281,Success,2026-02-06 00:41:33.391534,14.462859,
3282,scrape3282,Success,2026-02-06 00:41:47.886562,8.837622,
3283,scrape3283,Success,2026-02-06 00:41:56.753630,162.920828,
3304,scrape3304,Success,2026-02-06 00:44:39.708223,8.940053,
3305,scrape3305,Success,2026-02-06 00:44:48.677295,0.328421,
3306,scrape3306,Success,2026-02-06 00:44:49.032445,1388.654492,
332,scrape332,Success,2026-02-06 01:07:57.721158,7.978967,
3456,scrape3456,Failure,2026-02-06 01:08:05.739914,3.672789,"Message: session not created: cannot connect to chrome at 127.0.0.1:50638
from session not created: This version of ChromeDriver only supports Chrome version 145
Current browser version is 144.0.7559.133
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xfbf393
	0xfbf3d4
	0xdb2090
	0xded732
	0xdec76c
	0xde2845
	0xde2666
	0xe2ae7f
	0xe2a697
	0xe1ebb6
	0xdf0319
	0xdf10d4
	0x1213de4
	0x120f0e9
	0x122c080
	0xfd80a8
	0xfdfdfd
	0xfc7bc8
	0xfc7d92
	0xfb189a
	0x765a5d49
	0x7755d5db
	0x7755d561
"
3473,scrape3473,Success,2026-02-06 01:08:09.446764,0.494011,
3504,scrape3504,Success,2026-02-06 01:08:09.966518,1.302074,
3533,scrape3533,Success,2026-02-06 01:08:11.303570,0.0,
3534,scrape3534,Success,2026-02-06 01:08:11.333965,0.0,
3594,scrape3594,Success,2026-02-06 01:08:11.365814,0.679509,
3768,scrape3768,Success,2026-02-06 01:08:12.074702,18.627448,
3769,scrape3769,Success,2026-02-06 01:08:30.732585,17.527123,
404,scrape404,Success,2026-02-06 01:08:48.299335,13.85856,
4219,scrape4219,Success,2026-02-06 01:09:02.196008,48.363191,
